codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
14740,47.99A,70,49.233333,-0.516667
14740,47.99A,70,49.233333,-0.45
14740,47.99A,70,49.25,-0.6
14740,47.99A,70,49.233333,-0.466667
14740,47.99A,70,"",""
14740,47.99A,70,49.233333,-0.55
14740,47.99A,70,49.216667,-0.533333
14740,47.99A,70,49.2,-0.55
14740,47.99A,70,49.233333,-0.6
14740,47.99A,70,"",""
14740,64.11,10,49.233333,-0.516667
14740,64.11,10,49.233333,-0.45
14740,64.11,10,49.25,-0.6
14740,64.11,10,49.233333,-0.466667
14740,64.11,10,"",""
14740,64.11,10,49.233333,-0.55
14740,64.11,10,49.216667,-0.533333
14740,64.11,10,49.2,-0.55
14740,64.11,10,49.233333,-0.6
14740,64.11,10,"",""
14740,45.1B,10,49.233333,-0.516667
14740,45.1B,10,49.233333,-0.45
14740,45.1B,10,49.25,-0.6
14740,45.1B,10,49.233333,-0.466667
14740,45.1B,10,"",""
14740,45.1B,10,49.233333,-0.55
14740,45.1B,10,49.216667,-0.533333
14740,45.1B,10,49.2,-0.55
14740,45.1B,10,49.233333,-0.6
14740,45.1B,10,"",""
14740,43.22A,30,49.233333,-0.516667
14740,43.22A,30,49.233333,-0.45
14740,43.22A,30,49.25,-0.6
14740,43.22A,30,49.233333,-0.466667
14740,43.22A,30,"",""
14740,43.22A,30,49.233333,-0.55
14740,43.22A,30,49.216667,-0.533333
14740,43.22A,30,49.2,-0.55
14740,43.22A,30,49.233333,-0.6
14740,43.22A,30,"",""
14740,93.0D,10,49.233333,-0.516667
14740,93.0D,10,49.233333,-0.45
14740,93.0D,10,49.25,-0.6
14740,93.0D,10,49.233333,-0.466667
14740,93.0D,10,"",""
14740,93.0D,10,49.233333,-0.55
14740,93.0D,10,49.216667,-0.533333
14740,93.0D,10,49.2,-0.55
14740,93.0D,10,49.233333,-0.6
14740,93.0D,10,"",""
14740,47.79Z,10,49.233333,-0.516667
14740,47.79Z,10,49.233333,-0.45
14740,47.79Z,10,49.25,-0.6
14740,47.79Z,10,49.233333,-0.466667
14740,47.79Z,10,"",""
14740,47.79Z,10,49.233333,-0.55
14740,47.79Z,10,49.216667,-0.533333
14740,47.79Z,10,49.2,-0.55
14740,47.79Z,10,49.233333,-0.6
14740,47.79Z,10,"",""
14740,01.11Z,60,49.233333,-0.516667
14740,01.11Z,60,49.233333,-0.45
14740,01.11Z,60,49.25,-0.6
14740,01.11Z,60,49.233333,-0.466667
14740,01.11Z,60,"",""
14740,01.11Z,60,49.233333,-0.55
14740,01.11Z,60,49.216667,-0.533333
14740,01.11Z,60,49.2,-0.55
14740,01.11Z,60,49.233333,-0.6
14740,01.11Z,60,"",""
14740,52.4Z,30,49.233333,-0.516667
14740,52.4Z,30,49.233333,-0.45
14740,52.4Z,30,49.25,-0.6
14740,52.4Z,30,49.233333,-0.466667
14740,52.4Z,30,"",""
14740,52.4Z,30,49.233333,-0.55
14740,52.4Z,30,49.216667,-0.533333
14740,52.4Z,30,49.2,-0.55
14740,52.4Z,30,49.233333,-0.6
14740,52.4Z,30,"",""
14740,95.29Z,10,49.233333,-0.516667
14740,95.29Z,10,49.233333,-0.45
14740,95.29Z,10,49.25,-0.6
14740,95.29Z,10,49.233333,-0.466667
14740,95.29Z,10,"",""
14740,95.29Z,10,49.233333,-0.55
14740,95.29Z,10,49.216667,-0.533333
14740,95.29Z,10,49.2,-0.55
14740,95.29Z,10,49.233333,-0.6
14740,95.29Z,10,"",""
14740,64.23,10,49.233333,-0.516667
14740,64.23,10,49.233333,-0.45
14740,64.23,10,49.25,-0.6
14740,64.23,10,49.233333,-0.466667
14740,64.23,10,"",""
14740,64.23,10,49.233333,-0.55
14740,64.23,10,49.216667,-0.533333
14740,64.23,10,49.2,-0.55
14740,64.23,10,49.233333,-0.6
14740,64.23,10,"",""
14740,68.20A,30,49.233333,-0.516667
14740,68.20A,30,49.233333,-0.45
14740,68.20A,30,49.25,-0.6
14740,68.20A,30,49.233333,-0.466667
14740,68.20A,30,"",""
14740,68.20A,30,49.233333,-0.55
14740,68.20A,30,49.216667,-0.533333
14740,68.20A,30,49.2,-0.55
14740,68.20A,30,49.233333,-0.6
14740,68.20A,30,"",""
14740,64.49,10,49.233333,-0.516667
14740,64.49,10,49.233333,-0.45
14740,64.49,10,49.25,-0.6
14740,64.49,10,49.233333,-0.466667
14740,64.49,10,"",""
14740,64.49,10,49.233333,-0.55
14740,64.49,10,49.216667,-0.533333
14740,64.49,10,49.2,-0.55
14740,64.49,10,49.233333,-0.6
14740,64.49,10,"",""
14740,55.40,10,49.233333,-0.516667
14740,55.40,10,49.233333,-0.45
14740,55.40,10,49.25,-0.6
14740,55.40,10,49.233333,-0.466667
14740,55.40,10,"",""
14740,55.40,10,49.233333,-0.55
14740,55.40,10,49.216667,-0.533333
14740,55.40,10,49.2,-0.55
14740,55.40,10,49.233333,-0.6
14740,55.40,10,"",""
14740,55.60,20,49.233333,-0.516667
14740,55.60,20,49.233333,-0.45
14740,55.60,20,49.25,-0.6
14740,55.60,20,49.233333,-0.466667
14740,55.60,20,"",""
14740,55.60,20,49.233333,-0.55
14740,55.60,20,49.216667,-0.533333
14740,55.60,20,49.2,-0.55
14740,55.60,20,49.233333,-0.6
14740,55.60,20,"",""
14740,46.49Z,20,49.233333,-0.516667
14740,46.49Z,20,49.233333,-0.45
14740,46.49Z,20,49.25,-0.6
14740,46.49Z,20,49.233333,-0.466667
14740,46.49Z,20,"",""
14740,46.49Z,20,49.233333,-0.55
14740,46.49Z,20,49.216667,-0.533333
14740,46.49Z,20,49.2,-0.55
14740,46.49Z,20,49.233333,-0.6
14740,46.49Z,20,"",""
